Entity,Product,Entity URL Full,Entity URL,Policy URL,Observaciones,WayBack Machine URL,Category,Registration date
Ministerio de Ambiente,,https://www.ambiente.gob.ec,ambiente.gob.ec,https://www.ambiente.gob.ec/politica-datos-personales/#,,https://web.archive.org/web/20210704001155/https%3A%2F%2Fwww.ambiente.gob.ec%2Fpolitica-datos-personales%2F,government,7/3/2021
Axeso5,,https://www.axeso5.com,axeso5.com,https://www.axeso5.com/contenidos/privacidad,,https://web.archive.org/web/20210703162935/https%3A%2F%2Fwww.axeso5.com%2Fcontenidos%2Fprivacidad,entertainment,7/3/2021
Banco del Pacífico,,https://www.bancodelpacifico.com,bancodelpacifico.com,https://www.bancodelpacifico.com/Politicas-y-Terminos-de-Uso,,https://web.archive.org/web/20210703230816/https://www.bancodelpacifico.com/Politicas-y-Terminos-de-Uso,finances,7/3/2021
Banco de Guayaquil,Aplicación Móvil Banco de Guayaquil,https://www.bancoguayaquil.com,bancoguayaquil.com,https://apps.bancoguayaquil.com/BG.Autofacil.WebApp/ConsultaCredito/Autenticacion#,,https://web.archive.org/web/20210703232426/https%3A%2F%2Fapps.bancoguayaquil.com%2FBG.Autofacil.WebApp%2FConsultaCredito%2FAutenticacion,finances,7/3/2021
Banco Internacional,,https://www.bancointernacional.com.ec,bancointernacional.com.ec,https://www.bancointernacional.com.ec/politica-de-privacidad/,,https://web.archive.org/web/20210704015348/https%3A%2F%2Fwww.bancointernacional.com.ec%2Fpolitica-de-privacidad%2F,finances,7/3/2021
Banco General Rumiñahui,,https://www.bgr.com.ec,bgr.com.ec,https://www.bgr.com.ec/resources/pdf/gobierno-corporativo/codigo-de-etica.pdf,,https://web.archive.org/web/20210703231538/https%3A%2F%2Fwww.bgr.com.ec%2Fresources%2Fpdf%2Fgobierno-corporativo%2Fcodigo-de-etica.pdf,finances,7/3/2021
Banco Bolivariano,,https://bolivariano.com,bolivariano.com,https://www.bolivariano.com/informacion-institucional/terminos-legales,,https://web.archive.org/web/20210703230212/https%3A%2F%2Fwww.bolivariano.com%2Finformacion-institucional%2Fterminos-legales,finances,7/3/2021
Chevrolet,,https://www.chevrolet.com.ec,chevrolet.com.ec,https://www.chevrolet.com.ec/politicas-y-privacidad,,https://web.archive.org/web/20210703172822/https%3A%2F%2Fwww.chevrolet.com.ec%2Fpoliticas-y-privacidad,shopping,7/3/2021
Claro,,https://www.claro.com.ec/personas/,claro.com.ec,https://www.claro.com.ec/portal/cl/legal-regulatorio/lightbox/descripcion-ED-48.html,,https://web.archive.org/web/20210704015242/https%3A%2F%2Fwww.claro.com.ec%2Fportal%2Fcl%2Flegal-regulatorio%2Flightbox%2Fdescripcion-ED-48.html,shopping,7/3/2021
CNELEP,,https://www.cnelep.gob.ec,cnelep.gob.ec,https://www.cnelep.gob.ec/politica-datos-personales/,,https://web.archive.org/web/20210704021212/https%3A%2F%2Fwww.cnelep.gob.ec%2Fpolitica-datos-personales%2F,government,7/3/2021
Portal de compras públicas,,https://portal.compraspublicas.gob.ec/sercop/,compraspublicas.gob.ec,https://portal.compraspublicas.gob.ec/sercop/politica-de-privacidad/,,https://web.archive.org/web/20210704000003/https%3A%2F%2Fportal.compraspublicas.gob.ec%2Fsercop%2Fpolitica-de-privacidad%2F,government,7/3/2021
CompuTrabajo,,https://www.computrabajo.com.ec,computrabajo.com.ec,https://www.computrabajo.com.ec/privacidad/,,https://www.ups.edu.ec/documents/10184/20884/Pol%C3%ADtica+de+Tratamiento+y+Uso+de+Datos+Personales+UPS/b9a291af-fbf2-4328-b7d2-b8301a71c874,employment,7/3/2021
DePrati,,https://www.deprati.com.ec,deprati.com.ec,https://www.deprati.com.ec/termsAndConditions,,https://web.archive.org/web/20210703231901/https%3A%2F%2Fwww.deprati.com.ec%2FtermsAndConditions,shopping,7/3/2021
Dialcentro,,https://www.dialcentro.com.ec,dialcentro.com.ec,https://www.dialcentro.com.ec/index.php/es/politica-de-privacidad,,https://web.archive.org/web/20211019055727/https%3A%2F%2Fwww.dialcentro.com.ec%2Findex.php%2Fes%2Fpolitica-de-privacidad,health,10/18/2021
Diners Club,,https://www.dinersclub.com.ec,onlineservices.dinersclub.com.ec,https://www.dinersclub.com.ec/politicas-de-privacidad-en-internet,,https://web.archive.org/web/20210703225701/https%3A%2F%2Fwww.dinersclub.com.ec%2Fpoliticas-de-privacidad-en-internet,finances,7/3/2021
